iso_alpha;pop;continent
AUS;35;Europe
USA;390;Americas
GBR;135;Europe
PRI;84;Americas
DOM;4;Americas
ITA;10;Europe
CAN;114;Americas
COL;50;Americas
KOR;32;Asia
MEX;8;Americas
JAM;5;Americas
ARG;15;Americas
PAN;11;Americas
CUB;5;Americas
NLD;80;Europe
NOR;5;Europe
IND;15;Asia
BRA;28;Americas
SWE;18;Europe
PHL;1;Asia
DEU;5;Europe
TUR;1;Asia
IRL;5;Europe
PNG;1;Oceania
FRA;5;Europe
THA;3;Asia
CAF;8;Africa
BEL;2;Europe
